所属的二进制名*,包含的Git工程ID*,所属的所属模块名*,是否影响永不倒用例,CK文件名,console文件名,最近编译时间,Git路径,所属Git仓库ID,仓库名称,仓库路径,已归档,默认分支,仓库https地址,仓库SSH地址,仓库全名称,仓库全路径,是否已授权
republic,729134,mmpayfddscript,仅目标资产影响,CK_republic,republicConsole,2024-10-11 14:47:40,http://git.woa.com/mmpay_wxpay/mch_fund_departure/tree/master/daemon/republic,729134,mch_fund_departure,mch_fund_departure,否,master,https://git.woa.com/mmpay_wxpay/mch_fund_departure.git,git@git.woa.com:mmpay_wxpay/mch_fund_departure.git,mmpay_wxpay/mch_fund_departure,mmpay_wxpay/mch_fund_departure,是
mmpaybusinessplatpayapibroker,309888,mmpaybusinessplatpayapibroker,仅目标资产影响,CK_mmpaybusinessplatpayapibroker,mmpaybusinessplatpayapibrokerConsole,2024-11-22 14:18:22,http://git.woa.com/mmpay_wxpay/business_plat_pay/tree/master/gateway/mmpaybusinessplatpayapibroker/src/code/service/impl/mmpaybusinessplatpayapibroker,309888,business_plat_pay,business_plat_pay,否,master,https://git.woa.com/mmpay_wxpay/business_plat_pay.git,git@git.woa.com:mmpay_wxpay/business_plat_pay.git,mmpay_wxpay/business_plat_pay,mmpay_wxpay/business_plat_pay,是
mmpaymchtranssendcouponsvr,166045,mmpaymchtranssendcouponsvr,仅目标资产影响,CK_mmpaymchtranssendcouponsvr,mmpaymchtranssendcouponsvrConsole,,http://git.woa.com/mmpay_wxpay/mch_payment/tree/master/domain/mmpaymchtranssendcouponsvr,166045,mch_payment,mch_payment,否,master,https://git.woa.com/mmpay_wxpay/mch_payment.git,git@git.woa.com:mmpay_wxpay/mch_payment.git,mmpay_wxpay/mch_payment,mmpay_wxpay/mch_payment,是
mmpayentrustpapaymentbroker,166100,mmpayentrustpapaymentbroker,仅目标资产影响,CK_mmpayentrustpapaymentbroker,mmpayentrustpapaymentbrokerConsole,2025-02-18 17:12:32,http://git.woa.com/mmpay_wxpay/deduction_pay/tree/master/gateway/mmpayentrustpapaymentbroker,166100,deduction_pay,deduction_pay,否,master,https://git.woa.com/mmpay_wxpay/deduction_pay.git,git@git.woa.com:mmpay_wxpay/deduction_pay.git,mmpay_wxpay/deduction_pay,mmpay_wxpay/deduction_pay,是
mmpaycreditriskafterloandataquerysvr,406257,mmpaycreditriskafterloandataquerysvr,仅目标资产影响,CK_mmpaycreditriskafterloandataquerysvr,mmpaycreditriskafterloandataquerysvrConsole,2024-08-21 13:15:23,http://git.woa.com/mmpay_finance_risk/creditpay_risk/tree/master/domain/mmpaycreditriskafterloandataquerysvr,406257,creditpay_risk,creditpay_risk,否,master,https://git.woa.com/mmpay_finance_risk/creditpay_risk.git,git@git.woa.com:mmpay_finance_risk/creditpay_risk.git,mmpay_finance_risk/creditpay_risk,mmpay_finance_risk/creditpay_risk,是
mmpaymchapi,229479,mmpaymchapi,仅目标资产影响,CK_mmpaymchapi,mmpaymchapiConsole,2024-09-12 16:38:51,http://git.woa.com/mmpay_svn/mmpaygateway/tree/master/mmpaymchapi,229479,mmpaygateway,mmpaygateway,否,master,https://git.woa.com/mmpay_svn/mmpaygateway.git,git@git.woa.com:mmpay_svn/mmpaygateway.git,mmpay_svn/mmpaygateway,mmpay_svn/mmpaygateway,是
mmpayffledgeritgsvr,246326,mmpayffledgeritgsvr,仅目标资产影响,CK_mmpayffledgeritgsvr,mmpayffledgeritgsvrConsole,2024-10-08 12:12:34,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaybasic/mmpayff/mmpayffledgeritgsvr,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymediclaimassistlogicsvr,1059898,mmpaymediclaimassistlogicsvr,仅目标资产影响,CK_mmpaymediclaimassistlogicsvr,mmpaymediclaimassistlogicsvrConsole,2025-01-16 17:23:25,http://git.woa.com/mmpay_Insurance/medical_claim_assistant/tree/master/gateway/mmpaymediclaimassistlogicsvr,1059898,medical_claim_assistant,medical_claim_assistant,否,master,https://git.woa.com/mmpay_Insurance/medical_claim_assistant.git,git@git.woa.com:mmpay_Insurance/medical_claim_assistant.git,mmpay_Insurance/medical_claim_assistant,mmpay_Insurance/medical_claim_assistant,是
mmpaykaconfigserviceaosvr,309930,mmpaykaconfigserviceaosvr,仅目标资产影响,CK_mmpaykaconfigserviceaosvr,mmpaykaconfigserviceaosvrConsole,2024-09-12 10:50:57,http://git.woa.com/mmpay_industry_ka/industry_ka/tree/master/domain/mmpaykaconfigserviceaosvr,309930,industry_ka,industry_ka,否,master,https://git.woa.com/mmpay_industry_ka/industry_ka.git,git@git.woa.com:mmpay_industry_ka/industry_ka.git,mmpay_industry_ka/industry_ka,mmpay_industry_ka/industry_ka,是
mmpaysmartdeviceiotpushmqsvr_mqsched,166124,mmpaysmartdeviceiotpushmqsvr,仅目标资产影响,CK_mmpaysmartdeviceiotpushmqsvr_mqsched,mmpaysmartdeviceiotpushmqsvr_mqschedConsole,2025-01-22 11:20:57,http://git.woa.com/mmpay_material_device/material_device/tree/master/application/mmpaysmartdeviceiotpushmqsvr,166124,material_device,material_device,否,master,https://git.woa.com/mmpay_material_device/material_device.git,git@git.woa.com:mmpay_material_device/material_device.git,mmpay_material_device/material_device,mmpay_material_device/material_device,是
mmpayolweappmsgsvr,308782,mmpayolweappmsgsvr,仅目标资产影响,CK_mmpayolweappmsgsvr,mmpayolweappmsgsvrConsole,2024-11-11 16:31:53,http://git.woa.com/mmpay_wxpay/overseas/tree/master/application/mmpayolweappmsgsvr,308782,overseas,overseas,否,master,https://git.woa.com/mmpay_wxpay/overseas.git,git@git.woa.com:mmpay_wxpay/overseas.git,mmpay_wxpay/overseas,mmpay_wxpay/overseas,是
mmpaymmfundrefundhttpbroker,795054,mmpaymmfundrefundhttpbroker,仅目标资产影响,CK_mmpaymmfundrefundhttpbroker,mmpaymmfundrefundhttpbrokerConsole,2024-10-08 11:27:30,http://git.woa.com/mmpay_wxpay/mm_fund/tree/master/gateway/mmpaymmfundrefundhttpbroker,795054,mm_fund,mm_fund,否,master,https://git.woa.com/mmpay_wxpay/mm_fund.git,git@git.woa.com:mmpay_wxpay/mm_fund.git,mmpay_wxpay/mm_fund,mmpay_wxpay/mm_fund,是
mmpaymchmgrauthoritydaosvr,166107,mmpaymchmgrauthoritydaosvr,仅目标资产影响,CK_mmpaymchmgrauthoritydaosvr,mmpaymchmgrauthoritydaosvrConsole,2024-10-31 01:10:03,http://git.woa.com/mmpay_wxpay/mch_basic/tree/master/domain/mmpaymchmgrauthoritydaosvr,166107,mch_basic,mch_basic,否,master,https://git.woa.com/mmpay_wxpay/mch_basic.git,git@git.woa.com:mmpay_wxpay/mch_basic.git,mmpay_wxpay/mch_basic,mmpay_wxpay/mch_basic,是
mmpaymchriskeventaggrao,166119,mmpaymchriskeventaggrao,仅目标资产影响,CK_mmpaymchriskeventaggrao,mmpaymchriskeventaggraoConsole,2024-08-20 15:11:45,http://git.woa.com/mmpay_wxpay/mch_sec/tree/master/application/mmpaymchriskeventaggrao,166119,mch_sec,mch_sec,否,master,https://git.woa.com/mmpay_wxpay/mch_sec.git,git@git.woa.com:mmpay_wxpay/mch_sec.git,mmpay_wxpay/mch_sec,mmpay_wxpay/mch_sec,是
mmpaycreditfundmanageaosvr,166054,mmpaycreditfundmanageaosvr,仅目标资产影响,CK_mmpaycreditfundmanageaosvr,mmpaycreditfundmanageaosvrConsole,2024-09-14 17:27:50,http://git.woa.com/mmpay_credit/credit/tree/master/domain/mmpaycreditfundmanageaosvr,166054,credit,credit,否,master,https://git.woa.com/mmpay_credit/credit.git,git@git.woa.com:mmpay_credit/credit.git,mmpay_credit/credit,mmpay_credit/credit,是
mmpaymchmgremaildaemon,234403,mmpaymchscript,仅目标资产影响,CK_mmpaymchmgremaildaemon,mmpaymchmgremaildaemonConsole,2024-12-03 15:15:44,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpaymchmgr/mmpaymchmgrmsggateway/daemon/mmpaymchmgremaildaemon,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaymchsubjectalterationsvr,166107,mmpaymchsubjectalterationsvr,仅目标资产影响,CK_mmpaymchsubjectalterationsvr,mmpaymchsubjectalterationsvrConsole,2024-10-21 15:45:36,http://git.woa.com/mmpay_wxpay/mch_basic/tree/master/application/mmpaymchsubjectalterationsvr,166107,mch_basic,mch_basic,否,master,https://git.woa.com/mmpay_wxpay/mch_basic.git,git@git.woa.com:mmpay_wxpay/mch_basic.git,mmpay_wxpay/mch_basic,mmpay_wxpay/mch_basic,是
mmpaynewtonfreq,246326,mmpaynewtonfreq,仅目标资产影响,CK_mmpaynewtonfreq,mmpaynewtonfreqConsole,2024-09-12 20:29:51,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpayapp/mmpayunitymodule/mmpayappfreq,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpayxdataolapsubscriber,234403,mmpayxdataplainolapsubscriber,仅目标资产影响,CK_mmpayxdataolapsubscriber,mmpayxdataolapsubscriberConsole,,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpayxdata/mmpayxdataolapsubscriber,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaybusif2fqrcodesvr,166049,mmpaybusif2fqrcodesvr,仅目标资产影响,CK_mmpaybusif2fqrcodesvr,mmpaybusif2fqrcodesvrConsole,2025-02-14 17:48:43,http://git.woa.com/mmpay_wxface2face/f2f/tree/master/domain/mmpaybusif2fqrcodesvr,166049,f2f,f2f,否,master,https://git.woa.com/mmpay_wxface2face/f2f.git,git@git.woa.com:mmpay_wxface2face/f2f.git,mmpay_wxface2face/f2f,mmpay_wxface2face/f2f,是
mmpayinvoicecallbackmqsvrworker,166098,mmpayinvoicecallbackmqsvr,仅目标资产影响,CK_mmpayinvoicecallbackmqsvrworker,mmpayinvoicecallbackmqsvrworkerConsole,2024-09-19 10:08:27,http://git.woa.com/mmpay_EInvoice-S/EInvoice/tree/master/application/mmpayinvoicecallbackmqsvr,166098,EInvoice,EInvoice,否,master,https://git.woa.com/mmpay_EInvoice-S/EInvoice.git,git@git.woa.com:mmpay_EInvoice-S/EInvoice.git,mmpay_EInvoice-S/EInvoice,mmpay_EInvoice-S/EInvoice,是
mmpaymktbankfirstbindkvsvr,186729,mmpaymktbankfirstbindkvsvr,仅目标资产影响,CK_mmpaymktbankfirstbindkvsvr,mmpaymktbankfirstbindkvsvrConsole,2025-02-20 15:48:08,http://git.woa.com/mmpay_wxpay/mkt/tree/master/domain/mmpaymktbank/mmpaymktbankfirstbindkvsvr,186729,mkt,mkt,否,master,https://git.woa.com/mmpay_wxpay/mkt.git,git@git.woa.com:mmpay_wxpay/mkt.git,mmpay_wxpay/mkt,mmpay_wxpay/mkt,是
mmpaypalmyoutupalmline,785756,mmpaypalmyoutupalmline,仅目标资产影响,CK_mmpaypalmyoutupalmline,mmpaypalmyoutupalmlineConsole,2024-09-09 22:39:07,http://git.woa.com/mmpay_palm_recognition/palm_pay/tree/master/application/mmpaypalmyoutupalmline,785756,palm_pay,palm_pay,否,master,https://git.woa.com/mmpay_palm_recognition/palm_pay.git,git@git.woa.com:mmpay_palm_recognition/palm_pay.git,mmpay_palm_recognition/palm_pay,mmpay_palm_recognition/palm_pay,是
mmpaybusaedcallbackweb,1266758,mmpaybusaedcallbackweb,仅目标资产影响,CK_mmpaybusaedcallbackweb,mmpaybusaedcallbackwebConsole,2024-09-29 18:37:30,http://git.woa.com/mmpay_wpts/wpts_bus_aed/tree/master/gateway/mmpaybusaedcallbackweb,1266758,wpts_bus_aed,wpts_bus_aed,否,master,https://git.woa.com/mmpay_wpts/wpts_bus_aed.git,git@git.woa.com:mmpay_wpts/wpts_bus_aed.git,mmpay_wpts/wpts_bus_aed,mmpay_wpts/wpts_bus_aed,是
mmpaykfproblemesproxysvr,323610,mmpaykfproblemesproxysvr,仅目标资产影响,CK_mmpaykfproblemesproxysvr,mmpaykfproblemesproxysvrConsole,2024-10-22 19:41:43,http://git.woa.com/mmpay_wxpay/kf/tree/master/gateway/mmpaykfproblemesproxysvr,323610,kf,kf,否,master,https://git.woa.com/mmpay_wxpay/kf.git,git@git.woa.com:mmpay_wxpay/kf.git,mmpay_wxpay/kf,mmpay_wxpay/kf,是
mmpaynewtonopensvr,246326,mmpaynewtonopensvr,仅目标资产影响,CK_mmpaynewtonopensvr,mmpaynewtonopensvrConsole,2024-09-12 12:31:56,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpayapp/mmpaynewton/mmpaynewtonrisk/mmpaynewtonopensvr,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymktgiftpackmqworker,246326,mmpaymktgiftpackmq,仅目标资产影响,CK_mmpaymktgiftpackmqworker,mmpaymktgiftpackmqworkerConsole,,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymkt/mmpaymktactivity/mmpaymktgiftpack/mmpaymktgiftpackmq,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymktcouponsvr,246326,mmpaymktcouponsvr,仅目标资产影响,CK_mmpaymktcouponsvr,mmpaymktcouponsvrConsole,2025-01-17 14:38:04,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymkt/mmpaymktfavor/mmpaymktcouponsvr,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymchplstaffbizaosvr,234403,mmpaymchplstaffbizaosvr,仅目标资产影响,CK_mmpaymchplstaffbizaosvr,mmpaymchplstaffbizaosvrConsole,2025-02-14 09:51:17,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpaymchpl/mmpaymchplstaff/mmpaymchplstaffbizaosvr,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaymchpayauthorityapplyaosvr,166107,mmpaymchpayauthorityapplyaosvr,仅目标资产影响,CK_mmpaymchpayauthorityapplyaosvr,mmpaymchpayauthorityapplyaosvrConsole,,http://git.woa.com/mmpay_wxpay/mch_basic/tree/master/application/mmpaymchpayauthorityapplyaosvr,166107,mch_basic,mch_basic,否,master,https://git.woa.com/mmpay_wxpay/mch_basic.git,git@git.woa.com:mmpay_wxpay/mch_basic.git,mmpay_wxpay/mch_basic,mmpay_wxpay/mch_basic,是
mmpaymchnotifyconfkvsvr,166107,mmpaymchnotifyconfkvsvr,仅目标资产影响,CK_mmpaymchnotifyconfkvsvr,mmpaymchnotifyconfkvsvrConsole,2024-11-28 14:36:35,http://git.woa.com/mmpay_wxpay/mch_basic/tree/master/domain/mmpaymchnotifyconfkvsvr,166107,mch_basic,mch_basic,否,master,https://git.woa.com/mmpay_wxpay/mch_basic.git,git@git.woa.com:mmpay_wxpay/mch_basic.git,mmpay_wxpay/mch_basic,mmpay_wxpay/mch_basic,是
mmpaynewtonapptmplmsgmq,345394,mmpaynewtonapptmplmsgmq,均不影响,CK_mmpaynewtonapptmplmsgmq,mmpaynewtonapptmplmsgmqConsole,,http://git.woa.com/mmpay_payscore_application/payscore_business_card/tree/master/application/mmpaynewtonapptmplmsgmq,345394,payscore_business_card,payscore_business_card,否,master,https://git.woa.com/mmpay_payscore_application/payscore_business_card.git,git@git.woa.com:mmpay_payscore_application/payscore_business_card.git,mmpay_payscore_application/payscore_business_card,mmpay_payscore_application/payscore_business_card,是
mmpaycardpicbrokersvr,916281,mmpaycardpicbrokersvr,均不影响,CK_mmpaycardpicbrokersvr,mmpaycardpicbrokersvrConsole,2024-08-19 10:22:18,http://git.woa.com/mmpay_card_pic_store/card_pic/tree/master/application/mmpaycardpicbrokersvr,916281,card_pic,card_pic,否,master,https://git.woa.com/mmpay_card_pic_store/card_pic.git,git@git.woa.com:mmpay_card_pic_store/card_pic.git,mmpay_card_pic_store/card_pic,mmpay_card_pic_store/card_pic,是
mmpaywxvaluespsvr,246267,mmpaywxvaluespsvr,仅目标资产影响,CK_mmpaywxvaluespsvr,mmpaywxvaluespsvrConsole,2025-01-15 18:41:55,http://git.woa.com/mmpay_svn_sec/mmpaynewton/tree/master/mmpaywxvaluespsvr,246267,mmpaynewton,mmpaynewton,否,master,https://git.woa.com/mmpay_svn_sec/mmpaynewton.git,git@git.woa.com:mmpay_svn_sec/mmpaynewton.git,mmpay_svn_sec/mmpaynewton,mmpay_svn_sec/mmpaynewton,是
mmpayinvestrefundkvdaosvr,354169,mmpayinvestrefundkvdaosvr,仅目标资产影响,CK_mmpayinvestrefundkvdaosvr,mmpayinvestrefundkvdaosvrConsole,2024-09-13 09:51:07,http://git.woa.com/mmpay_wpts/wpts_deduction_saas/tree/master/domain/mmpayinvestrefundkvdaosvr,354169,wpts_deduction_saas,wpts_deduction_saas,否,master,https://git.woa.com/mmpay_wpts/wpts_deduction_saas.git,git@git.woa.com:mmpay_wpts/wpts_deduction_saas.git,mmpay_wpts/wpts_deduction_saas,mmpay_wpts/wpts_deduction_saas,是
mmpaylifeplatformpapaykvdaosvr,166014,mmpaylifeplatformpapaykvdaosvr,仅目标资产影响,CK_mmpaylifeplatformpapaykvdaosvr,mmpaylifeplatformpapaykvdaosvrConsole,2025-01-06 16:07:36,http://git.woa.com/mmpay_life_pay/life_pay/tree/master/domain/mmpaylifeplatformpapaykvdaosvr,166014,life_pay,life_pay,否,master,https://git.woa.com/mmpay_life_pay/life_pay.git,git@git.woa.com:mmpay_life_pay/life_pay.git,mmpay_life_pay/life_pay,mmpay_life_pay/life_pay,是
mmpaydeviceiotdaauth,694863,mmpaydeviceiotdaauth,仅目标资产影响,CK_mmpaydeviceiotdaauth,mmpaydeviceiotdaauthConsole,2024-09-23 10:16:58,http://git.woa.com/mmpay_material_device/device_iotda/tree/master/gateway/mmpaydeviceiotdaauth,694863,device_iotda,device_iotda,否,master,https://git.woa.com/mmpay_material_device/device_iotda.git,git@git.woa.com:mmpay_material_device/device_iotda.git,mmpay_material_device/device_iotda,mmpay_material_device/device_iotda,是
mmpaylqtnoticesvr,166105,mmpaylqtnoticesvr,仅目标资产影响,CK_mmpaylqtnoticesvr,mmpaylqtnoticesvrConsole,2024-10-14 20:55:29,http://git.woa.com/mmpay_lqt/lqt/tree/master/domain/mmpaylqtnoticesvr,166105,lqt,lqt,否,master,https://git.woa.com/mmpay_lqt/lqt.git,git@git.woa.com:mmpay_lqt/lqt.git,mmpay_lqt/lqt,mmpay_lqt/lqt,是
mmpayqcpermitlabelkvsvr,325194,mmpayqcpermitlabelkvsvr,仅目标资产影响,CK_mmpayqcpermitlabelkvsvr,mmpayqcpermitlabelkvsvrConsole,2024-10-16 10:10:19,http://git.woa.com/mmpay_wxpay/mch_operation_manage/tree/master/domain/mmpayqcpermitlabelkvsvr,325194,mch_operation_manage,mch_operation_manage,否,master,https://git.woa.com/mmpay_wxpay/mch_operation_manage.git,git@git.woa.com:mmpay_wxpay/mch_operation_manage.git,mmpay_wxpay/mch_operation_manage,mmpay_wxpay/mch_operation_manage,是
mmpaylifeqoskvsvr,166014,mmpaylifeqoskvsvr,仅目标资产影响,CK_mmpaylifeqoskvsvr,mmpaylifeqoskvsvrConsole,2024-09-18 14:27:45,http://git.woa.com/mmpay_life_pay/life_pay/tree/master/domain/mmpaylifeqoskvsvr,166014,life_pay,life_pay,否,master,https://git.woa.com/mmpay_life_pay/life_pay.git,git@git.woa.com:mmpay_life_pay/life_pay.git,mmpay_life_pay/life_pay,mmpay_life_pay/life_pay,是
mmpaypostxquerysvr,166111,mmpaypostxquerysvr,仅目标资产影响,CK_mmpaypostxquerysvr,mmpaypostxquerysvrConsole,2024-11-22 17:16:15,http://git.woa.com/mmpay_wxpay/code_pay/tree/master/domain/mmpaypostxquerysvr,166111,code_pay,code_pay,否,master,https://git.woa.com/mmpay_wxpay/code_pay.git,git@git.woa.com:mmpay_wxpay/code_pay.git,mmpay_wxpay/code_pay,mmpay_wxpay/code_pay,是
mmpayriskaggrbatchtask,166099,mmpayriskaggrbatchtask,仅目标资产影响,CK_mmpayriskaggrbatchtask,mmpayriskaggrbatchtaskConsole,,http://git.woa.com/mmpay_wxpay/aggr_risk/tree/master/application/mmpayriskaggrbatchtask,166099,aggr_risk,aggr_risk,否,master,https://git.woa.com/mmpay_wxpay/aggr_risk.git,git@git.woa.com:mmpay_wxpay/aggr_risk.git,mmpay_wxpay/aggr_risk,mmpay_wxpay/aggr_risk,是
mmpaysecinnermsgsvr,431665,mmpaysecinnermsgsvr,仅目标资产影响,CK_mmpaysecinnermsgsvr,mmpaysecinnermsgsvrConsole,,http://git.woa.com/mmpay_wxpay/wxpay_sec_tools/tree/master/application/mmpaysecinnermsgsvr,431665,wxpay_sec_tools,wxpay_sec_tools,否,master,https://git.woa.com/mmpay_wxpay/wxpay_sec_tools.git,git@git.woa.com:mmpay_wxpay/wxpay_sec_tools.git,mmpay_wxpay/wxpay_sec_tools,mmpay_wxpay/wxpay_sec_tools,是
mmpaymchmsgcckvsvr,166107,mmpaymchmsgcckvsvr,仅目标资产影响,CK_mmpaymchmsgcckvsvr,mmpaymchmsgcckvsvrConsole,2024-09-11 15:16:28,http://git.woa.com/mmpay_wxpay/mch_basic/tree/master/domain/mmpaymchmsgcckvsvr,166107,mch_basic,mch_basic,否,master,https://git.woa.com/mmpay_wxpay/mch_basic.git,git@git.woa.com:mmpay_wxpay/mch_basic.git,mmpay_wxpay/mch_basic,mmpay_wxpay/mch_basic,是
